epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,984.446,0.37868,0.90018,0.84254,0.99016,0.98914,0.99433,0.96826,0.26067,0.63269,0.78412,0.000661333,0.000661333,0.000661333
2,2082.94,0.30983,0.46331,0.82641,0.99262,0.98663,0.99428,0.97119,0.23412,0.38096,0.79043,0.00130171,0.00130171,0.00130171
3,4692.59,0.30355,0.37276,0.82668,0.98913,0.98782,0.99465,0.98043,0.23362,0.32936,0.78487,0.00191568,0.00191568,0.00191568
4,5504.59,0.29277,0.33406,0.83034,0.98905,0.9813,0.9944,0.98134,0.191,0.25928,0.78377,0.0018812,0.0018812,0.0018812
5,6309.18,0.27758,0.29866,0.82365,0.98877,0.98496,0.99401,0.97975,0.22168,0.31079,0.785,0.0018416,0.0018416,0.0018416
6,56866.8,0.26442,0.27401,0.821,0.98375,0.98413,0.99429,0.98097,0.18442,0.21209,0.77976,0.001802,0.001802,0.001802
7,60909.5,0.25195,0.26077,0.81651,0.98782,0.98914,0.99481,0.98594,0.1937,0.19881,0.77915,0.0017624,0.0017624,0.0017624
8,63381.9,0.24962,0.25421,0.82008,0.99127,0.9858,0.9947,0.98394,0.18686,0.2029,0.77668,0.0017228,0.0017228,0.0017228
9,66137.5,0.24578,0.24844,0.81652,0.9882,0.98663,0.99462,0.98432,0.15984,0.16551,0.77473,0.0016832,0.0016832,0.0016832
10,68637.8,0.22869,0.23131,0.81324,0.98753,0.99256,0.99483,0.9854,0.16808,0.18084,0.7794,0.0016436,0.0016436,0.0016436
